date|description|id|images|link|title
06 lutego 2021|Opis pozycji\Stan zachowania: PCGS MS65\Literatura: Chałupski 2.32.6.a, Parchimowicz 124.f\Dzięki temu egzemplarzowi możemy zobaczyć jak może wyglądać okazowa sztuka Piłsudskiego 1939.\Niesamowite w odbiorze głębokie lustro podkreślone delikatną patyną.\Lustro i w pełni mennicza satynowa powierzchnia zachowana w pełni zarówno w tle, jak i na reliefie, gdzie na reliefie daje znakomite efekty załamania światła.\Jeden z najładniejszych, jeżeli nawet nie najładniejszy egzemplarz dziesiątki z Piłsudskim.\Zachwyci nawet najbardziej wytrwałego kolekcjonera z wieloletnim doświadczeniem|1.0|['https://img1.one.bid/img/1236/386112_1b.jpg?1613133676', 'https://img1.one.bid/img/1236/386112_2b.jpg?1613133676', 'https://img1.one.bid/img/1236/386112_3b.jpg?1613133676']|https://aukcje.gndm.pl/pl/monety-pilsudski-10-zlotych-1939-okazowy/766158|Piłsudski 10 złotych 1939 - OKAZOWY
06 lutego 2021|Opis pozycji\Stan zachowania: NGC MS63\Literatura: Chałupski 2.32.6.a, Parchimowicz 124.f\Piękny.|2.0|['https://img1.one.bid/img/1236/386145_1b.jpg?1612815768', 'https://img1.one.bid/img/1236/386145_2b.jpg?1612815768', 'https://img1.one.bid/img/1236/386145_3b.jpg?1612815768']|https://aukcje.gndm.pl/pl/monety-pilsudski-10-zlotych-1939/766193|Piłsudski 10 złotych 1939
06 lutego 2021|Opis pozycji\Stan zachowania: NGC MS62\Literatura: Chałupski 2.32.6.a, Parchimowicz 124.f\Menniczy.|3.0|['https://img1.one.bid/img/1236/386144_1b.jpg?1612815796', 'https://img1.one.bid/img/1236/386144_2b.jpg?1612815796', 'https://img1.one.bid/img/1236/386144_3b.jpg?1612815796']|https://aukcje.gndm.pl/pl/monety-pilsudski-10-zlotych-1939/766192|Piłsudski 10 złotych 1939
03 października 2020|Opis pozycji\Stan zachowania: NGC MS64+\Literatura: Chałupski 2.32.6.a, Parchimowicz 124.f\Moneta z menniczego pakietu 17 sztuk, który w całości został wysłany przez nas do gradingu i obecnie całościowo, sztuka po sztuce wystawiany jest na tej aukcji. Szansa kupienia naprawdę znakomitych monet. \Poszczególne monety zaprezentowane na filmie. Zapraszamy. |4.0|['https://img1.one.bid/img/996/265875_1b.jpg?1601965618', 'https://img1.one.bid/img/996/265875_2b.jpg?1601965618', 'https://img1.one.bid/img/996/265875_3b.jpg?1601965618']|https://aukcje.gndm.pl/pl/monety-pilsudski-10-zlotych-1939/657398|Piłsudski 10 złotych 1939
03 października 2020|Opis pozycji\Stan zachowania: NGC MS64\Literatura: Chałupski 2.32.6.a, Parchimowicz 124.f\Moneta z menniczego pakietu 17 sztuk, który w całości został wysłany przez nas do gradingu i obecnie całościowo, sztuka po sztuce wystawiany jest na tej aukcji. Szansa kupienia naprawdę znakomitych monet. \Poszczególne monety zaprezentowane na filmie. Zapraszamy. |5.0|['https://img1.one.bid/img/996/265873_1b.jpg?1602840961', 'https://img1.one.bid/img/996/265873_2b.jpg?1602840961', 'https://img1.one.bid/img/996/265873_3b.jpg?1602840961']|https://aukcje.gndm.pl/pl/monety-pilsudski-10-zlotych-1939/657396|Piłsudski 10 złotych 1939
03 października 2020|Opis pozycji\Stan zachowania: NGC MS64\Literatura: Chałupski 2.32.6.a, Parchimowicz 124.f\Moneta z menniczego pakietu 17 sztuk, który w całości został wysłany przez nas do gradingu i obecnie całościowo, sztuka po sztuce wystawiany jest na tej aukcji. Szansa kupienia naprawdę znakomitych monet. \Poszczególne monety zaprezentowane na filmie. Zapraszamy. |6.0|['https://img1.one.bid/img/996/265874_1b.jpg?1601965622', 'https://img1.one.bid/img/996/265874_2b.jpg?1601965622', 'https://img1.one.bid/img/996/265874_3b.jpg?1601965622']|https://aukcje.gndm.pl/pl/monety-pilsudski-10-zlotych-1939/657397|Piłsudski 10 złotych 1939
03 października 2020|Opis pozycji\Stan zachowania: NGC MS64\Literatura: Chałupski 2.32.6.a, Parchimowicz 124.f\Moneta z menniczego pakietu 17 sztuk, który w całości został wysłany przez nas do gradingu i obecnie całościowo, sztuka po sztuce wystawiany jest na tej aukcji. Szansa kupienia naprawdę znakomitych monet. \Poszczególne monety zaprezentowane na filmie. Zapraszamy. |7.0|['https://img1.one.bid/img/996/295293_1b.jpg?1601961951', 'https://img1.one.bid/img/996/295293_2b.jpg?1601961951', 'https://img1.one.bid/img/996/295293_3b.jpg?1601961951']|https://aukcje.gndm.pl/pl/monety-pilsudski-10-zlotych-1939/675763|Piłsudski 10 złotych 1939
03 października 2020|Opis pozycji\Stan zachowania: NGC MS64\Literatura: Chałupski 2.32.6.a, Parchimowicz 124.f\Moneta z menniczego pakietu 17 sztuk, który w całości został wysłany przez nas do gradingu i obecnie całościowo, sztuka po sztuce wystawiany jest na tej aukcji. Szansa kupienia naprawdę znakomitych monet. \Poszczególne monety zaprezentowane na filmie. Zapraszamy. |8.0|['https://img1.one.bid/img/996/265869_1b.jpg?1601965627', 'https://img1.one.bid/img/996/265869_2b.jpg?1601965627', 'https://img1.one.bid/img/996/265869_3b.jpg?1601965627']|https://aukcje.gndm.pl/pl/monety-pilsudski-10-zlotych-1939/657392|Piłsudski 10 złotych 1939
03 października 2020|Opis pozycji\Stan zachowania: NGC MS63+\Literatura: Chałupski 2.32.6.a, Parchimowicz 124.f\Moneta z menniczego pakietu 17 sztuk, który w całości został wysłany przez nas do gradingu i obecnie całościowo, sztuka po sztuce wystawiany jest na tej aukcji. Szansa kupienia naprawdę znakomitych monet. \Poszczególne monety zaprezentowane na filmie. Zapraszamy. |9.0|['https://img1.one.bid/img/996/295292_1b.jpg?1601965629', 'https://img1.one.bid/img/996/295292_2b.jpg?1601965629', 'https://img1.one.bid/img/996/295292_3b.jpg?1601965629']|https://aukcje.gndm.pl/pl/monety-pilsudski-10-zlotych-1939/675762|Piłsudski 10 złotych 1939
03 października 2020|Opis pozycji\Stan zachowania: NGC MS63+\Literatura: Chałupski 2.32.6.a, Parchimowicz 124.f\Moneta z menniczego pakietu 17 sztuk, który w całości został wysłany przez nas do gradingu i obecnie całościowo, sztuka po sztuce wystawiany jest na tej aukcji. Szansa kupienia naprawdę znakomitych monet. \Poszczególne monety zaprezentowane na filmie. Zapraszamy. |10.0|['https://img1.one.bid/img/996/265864_1b.jpg?1601965631', 'https://img1.one.bid/img/996/265864_2b.jpg?1601965631', 'https://img1.one.bid/img/996/265864_3b.jpg?1601965631']|https://aukcje.gndm.pl/pl/monety-pilsudski-10-zlotych-1939/657387|Piłsudski 10 złotych 1939
03 października 2020|Opis pozycji\Stan zachowania: NGC MS63+\Literatura: Chałupski 2.32.6.a, Parchimowicz 124.f\Moneta z menniczego pakietu 17 sztuk, który w całości został wysłany przez nas do gradingu i obecnie całościowo, sztuka po sztuce wystawiany jest na tej aukcji. Szansa kupienia naprawdę znakomitych monet. \Poszczególne monety zaprezentowane na filmie. Zapraszamy. |11.0|['https://img1.one.bid/img/996/265867_1b.jpg?1601965633', 'https://img1.one.bid/img/996/265867_2b.jpg?1601965633', 'https://img1.one.bid/img/996/265867_3b.jpg?1601965633']|https://aukcje.gndm.pl/pl/monety-pilsudski-10-zlotych-1939/657390|Piłsudski 10 złotych 1939
03 października 2020|Opis pozycji\Stan zachowania: NGC MS63\Literatura: Chałupski 2.32.6.a, Parchimowicz 124.f\Moneta z menniczego pakietu 17 sztuk, który w całości został wysłany przez nas do gradingu i obecnie całościowo, sztuka po sztuce wystawiany jest na tej aukcji. Szansa kupienia naprawdę znakomitych monet. \Poszczególne monety zaprezentowane na filmie. Zapraszamy. |12.0|['https://img1.one.bid/img/996/265863_1b.jpg?1601965635', 'https://img1.one.bid/img/996/265863_2b.jpg?1601965635', 'https://img1.one.bid/img/996/265863_3b.jpg?1601965635']|https://aukcje.gndm.pl/pl/monety-pilsudski-10-zlotych-1939/657386|Piłsudski 10 złotych 1939
