id|date|description|images|link|title|title_state|description_state
1|12 czerwca, 10:00|Opis pozycji\Stan zachowania: 2\Literatura: Chałupski 2.23.1.b (R), Parchimowicz 115.a|['https://img1.onebid.pl/img/1482/433119_1b.jpg?1616927551', 'https://img1.onebid.pl/img/1482/433119_2b.jpg?1616927551', 'https://img1.onebid.pl/img/1482/433119_3b.jpg?1616927551']|https://aukcje.gndm.pl/pl/auction/1482/id/814651/sztandar-5-zlotych-1930|Sztandar 5 złotych 1930||2
2|06 lutego 2021|Opis pozycji\Stan zachowania: 2\Literatura: Chałupski 2.23.1.a (R5), Parchimowicz 115.b\Jedna z najrzadszych monet obiegowych okresu międzywojnia.\W komplecie kopertka potwierdzająca zakup w słynnym antykwariacie DESA - jedynym oficjalnie działającym w Polsce sklepem numizmatycznym czasów PRL.\Dobry, drugi stan zachowania. Typowo dla głębokiego sztandaru wyraźnie atrakcyjniejsza prezencja rewersu. Charakteryzuje się świeżym lustrem, dobrą jakością głębokiego bicia. Relief ostry, bez wytarć. Ryski czy skaleczenia nieliczne.\Naturalna patyna z niewielkimi przebarwieniami w prawej, górnej kwarcie. Na awersie wyraźniejsze przebarwienia u dołu, skaleczenie na głowie orła i kilka pomniejszych skaleczeń.\Dobrze zachowana naturalna, mennicza świeżość powierzchni z lekkim połyskiem.\Atrakcyjny egzemplarz jednej z najrzadszych monet II RP.\Emisja jej była bardzo niewielka, szybko jej zaprzestano we wczesnym okresie z przyczyn technologicznych (klinowanie się na stemplu stroną sztandaru).\Na rewersie, po prawej stronie, numer tuszem (14) z dawnego zbioru.\Moneta, która może ozdobić nawet zaawansowane zbiory monet tego okresu.|['https://img1.onebid.pl/img/1236/386388_1b.jpg?1612863058', 'https://img1.onebid.pl/img/1236/386388_2b.jpg?1612863058', 'https://img1.onebid.pl/img/1236/386388_3b.jpg?1612863058', 'https://img1.onebid.pl/img/1236/386388_4b.jpg?1612863058']|https://aukcje.gndm.pl/pl/auction/1236/lot/3334/sztandar-5-zlotych-1930-gleboki|Sztandar 5 złotych 1930 - GŁĘBOKI||2
3|06 lutego 2021|"Opis pozycji\Stan zachowania: 1-\Literatura: Chałupski 2.23.1.b (R), Parchimowicz 115.a\Znakomity egzemplarz o bardzo świeżym lustrze menniczym. Lustro o niespotykanej jakości jak na ""stemple płytkie"".\Moneta w naturalnej, jednolitej patynie, z miejscowymi przebarwieniami.\Bez defektów na powierzchni.\Bardzo atrakcyjna."|['https://img1.onebid.pl/img/1236/330188_1b.jpg?1614342103', 'https://img1.onebid.pl/img/1236/330188_2b.jpg?1614342103', 'https://img1.onebid.pl/img/1236/330188_3b.jpg?1614342103', 'https://img1.onebid.pl/img/1236/330188_4b.jpg?1614342103']|https://aukcje.gndm.pl/pl/auction/1236/lot/3335/sztandar-5-zlotych-1930|Sztandar 5 złotych 1930||1-
4|03 października 2020|Opis pozycji\Stan zachowania: NGC UNC\Literatura: Chałupski 2.23.1.b (R), Parchimowicz 115.a|['https://img1.onebid.pl/img/996/261269_1b.jpg?1601923430', 'https://img1.onebid.pl/img/996/261269_2b.jpg?1601923430', 'https://img1.onebid.pl/img/996/261269_3b.jpg?1601923430']|https://aukcje.gndm.pl/pl/auction/996/lot/3336/sztandar-5-zlotych-1930|Sztandar 5 złotych 1930||NGC UNC
5|03 października 2020|Opis pozycji\Stan zachowania: 2\Literatura: Chałupski 2.23.1.b (R), Parchimowicz 115.a\Odmiana bita płytkim stemplem.\Moneta o pięknej, gabinetowej prezencji z wyraźnym lustrem. Jej urodę zdecydowanie podkreśla urokliwa patyna. Relief zachowany dobrze, co widać dobrze po stronie ze sztandarem czy brzuchu orła, ale gwiazdki na skrzydłach nie są pełnej ostrości. Dwie niewielkie, wyglądające na stosunkowo świeże ryski na awersie. Oglądając powierzchnię pod różnymi kątami w ostrym świetle widać bardzo drobne, choć liczne, ryski z obu stron, ale nie niwelujące lustra. \Bardzo ładna sztuka. |['https://img1.onebid.pl/img/996/287431_1b.jpg?1601923443', 'https://img1.onebid.pl/img/996/287431_2b.jpg?1601923443']|https://aukcje.gndm.pl/pl/auction/996/lot/3337/sztandar-5-zlotych-1930|Sztandar 5 złotych 1930||2
6|03 października 2020|Opis pozycji\Stan zachowania: 2-\Literatura: Chałupski 2.23.1.b (R), Parchimowicz 115.a\Moneta z bardzo ładnym lustrem tła, lekkim przetarciem na rewersie. Relief orła ruszony obiegiem. Prezencja bardzo dobra. Jak na płytko bity Sztandar to ponadprzeciętny egzemplarz. |['https://img1.onebid.pl/img/996/288013_1b.jpg?1601923467', 'https://img1.onebid.pl/img/996/288013_2b.jpg?1601923467']|https://aukcje.gndm.pl/pl/auction/996/lot/3338/sztandar-5-zlotych-1930|Sztandar 5 złotych 1930||2-
7|06 czerwca 2020|Opis pozycji\Stan zachowania: NGC MS62\Literatura: Chałupski 2.23.2.a (R), Parchimowicz 115.a\Menniczy egzemplarz, piękny połysk.\Odmiana bita płytkim stemplem.|['https://img1.onebid.pl/img/740/242873_1b.jpg?1591469243', 'https://img1.onebid.pl/img/740/242873_2b.jpg?1591469243', 'https://img1.onebid.pl/img/740/242873_3b.jpg?1591469243']|https://aukcje.gndm.pl/pl/auction/740/lot/834/sztandar-5-zlotych-1930|Sztandar 5 złotych 1930||NGC MS62
8|08 lutego 2020|Opis pozycji\Stan zachowania: 2+\Literatura: Parchimowicz 115 a\Piękny sztandar. Moneta, która w gradingu najprawdopodobniej powinna otrzymać notę MS.\Stara patyna. Lustro.|['https://img1.onebid.pl/img/739/195339_1b.jpg?1581267519', 'https://img1.onebid.pl/img/739/195339_2b.jpg?1581267519', 'https://img1.onebid.pl/img/739/195339_3b.jpg?1581267519']|https://aukcje.gndm.pl/pl/auction/739/lot/2542/sztandar-5-zlotych-1930-piekny|Sztandar 5 złotych 1930 - piękny||2+
9|08 lutego 2020|Opis pozycji\Stan zachowania: 2+\Literatura: Parchimowicz 115 a\Egzemplarz bez śladu obiegu. W kilku miejscach ślady lekkiego przetarcia w tle. Wyraźne lustro. Piękna prezencja.|['https://img1.onebid.pl/img/739/195525_1b.jpg?1581267556', 'https://img1.onebid.pl/img/739/195525_2b.jpg?1581267556']|https://aukcje.gndm.pl/pl/auction/739/lot/2543/sztandar-5-zlotych-1930|Sztandar 5 złotych 1930||2+
10|05 października 2019|"Opis pozycji\Stan zachowania: 3+/2\Literatura: Chałupski 2.23.1.a (R5), Parchimowicz 115.b\Jedna z najrzadszych monet obiegowych okresu międzywojnia. Prawdopodobnie pierwsze wybijane w mennicy ""sztandary"" bito właśnie stemplem głębokim, lecz ze względu na utrudnienia w ich produkcji (klinowanie się na stemplu stroną sztandaru), zamieniono stemple na płytkie.\Lekko przetarty na awersie, ładny rewers."|['https://img1.onebid.pl/img/605/157089_1b.jpg?1570387793', 'https://img1.onebid.pl/img/605/157089_2b.jpg?1570387793', 'https://img1.onebid.pl/img/605/157089_3b.jpg?1570387793', 'https://img1.onebid.pl/img/605/157089_4b.jpg?1570387793']|https://aukcje.gndm.pl/pl/auction/605/lot/2029/sztandar-5-zlotych-1930-gleboki|Sztandar 5 złotych 1930 - GŁĘBOKI||3+/2
11|05 października 2019|Opis pozycji\Stan zachowania: 2/2+\Literatura: Chałupski 2.23.2.a (R), Parchimowicz 115.a\Odmiana bita płytkim stemplem.\Lekko przetarty na awersie. Ładny w prezencji, menniczej świeżości.|['https://img1.onebid.pl/img/605/157097_1b.jpg?1570388936', 'https://img1.onebid.pl/img/605/157097_2b.jpg?1570388936']|https://aukcje.gndm.pl/pl/auction/605/lot/2030/sztandar-5-zlotych-1930|Sztandar 5 złotych 1930||2/2+
