date|description|id|images|link|title
2021-03-27 (19:03)|II RP. 10 złotych 1939 Piłsudski\Przepolerowany egzemplarz.\Rzadszy rocznik.\Parchimowicz 123\Stan zachowania 3-\Waga 22,00 g Ag .750|1|['https://archiwum.niemczyk.pl/images/202103/a5efc1984edb8044144c86cf8d7d_orginal.jpg', 'https://archiwum.niemczyk.pl/images/202103/6333a4344b1c9772731fec781c58_orginal.jpg']|https://archiwum.niemczyk.pl/page/10511407806/ii-rp-10-zlotych-1939-pilsudski|II RP. 10 złotych 1939 Piłsudski
2021-03-22 (19:03)|II RP. 10 złotych 1939 Piłsudski - Rzadszy\Rzadszy rocznik. Ryski, delikatnie przetarty.\Waga: 21,99 g Ag .750\Fischer OB 020\Stan 2-|2|['https://archiwum.niemczyk.pl/images/202103/d61dbab54fe9a5c320de69faff06_orginal.jpg', 'https://archiwum.niemczyk.pl/images/202103/1e438bfd41b3ae330685aa6a985e_orginal.jpg']|https://archiwum.niemczyk.pl/page/10494979974/ii-rp-10-zlotych-1939-pilsudski-rzadszy|II RP. 10 złotych 1939 Piłsudski - Rzadszy
2021-03-22 (19:03)|II RP. 10 złotych 1939 Piłsudski - Rzadszy\Bardzo ładny egzemplarz. Połysk i patyna.\Rzadszy rocznik.\Waga: 21,99 g Ag .750\Fischer OB 020\Stan 1-|3|['https://archiwum.niemczyk.pl/images/202103/3ae098d94d37b57e10d9c55ba473_orginal.jpg', 'https://archiwum.niemczyk.pl/images/202103/60923b244673a72ad54ca47ef073_orginal.jpg']|https://archiwum.niemczyk.pl/page/10494971428/ii-rp-10-zlotych-1939-pilsudski-rzadszy|II RP. 10 złotych 1939 Piłsudski - Rzadszy
2021-03-21 (19:03)|II RP. 10 złotych 1939 Piłsudski st. 3 RZADSZY\Rzadszy rocznik, resztki połysku.\Waga: 21,95 g Ag. 750\Fischer OB. 023|4|['https://archiwum.niemczyk.pl/images/202103/0489a4a849bcacb2e87f0e0e322d_orginal.jpg', 'https://archiwum.niemczyk.pl/images/202103/74ed39d848358460be0ee5665692_orginal.jpg']|https://archiwum.niemczyk.pl/page/10487505851/ii-rp-10-zlotych-1939-pilsudski-st-3|II RP. 10 złotych 1939 Piłsudski st. 3
2021-03-21|Menniczy okaz z blaskiem menniczym i przepiękną seledynową patyna dodającą uroku.\Moneta o pięknej prezencji, rzadsza w tek wysokiej nocie gradingowej.\\Parchimowicz 124f\\Stan zachowania NGC MS64\Waga\Średnica|5|['https://archiwum.niemczyk.pl/images/auction/orginal/1614178204_86K%20_1_.JPG', 'https://archiwum.niemczyk.pl/images/auction/orginal/1614178204_86K%20_3_.JPG', 'https://archiwum.niemczyk.pl/images/auction/orginal/1614178205_86K%20_2_.JPG']|https://archiwum.niemczyk.pl/auction/78/2337/ii-rp-10-zlotych-1939-pilsudski-ngc-ms64|II RP. 10 złotych 1939 Piłsudski NGC MS64
2021-03-21|Pięknie zachowane szczegóły, przetarte tło.\\Parchimowicz 124f\\Stan zachowania PCGS UNC\Waga\Średnica|6|['https://archiwum.niemczyk.pl/images/auction/orginal/1614178315_2704K%20_1_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1614178315_2704K%20_3_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1614178315_2704K%20_2_.jpg']|https://archiwum.niemczyk.pl/auction/78/2338/ii-rp-10-zlotych-1939-pilsudski-pcgs-unc|II RP. 10 złotych 1939 Piłsudski PCGS UNC
2021-03-21|Sporo połysku w tle.\\Parchimowicz 124f\\Stan zachowania NGC AU\Waga\Średnica|7|['https://archiwum.niemczyk.pl/images/auction/orginal/1614178392_2711K%20_1_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1614178392_2711K%20_3_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1614178392_2711K%20_2_.jpg']|https://archiwum.niemczyk.pl/auction/78/2339/ii-rp-10-zlotych-1939-pilsudski-ngc-au|II RP. 10 złotych 1939 Piłsudski NGC AU
2021-03-21|Ładny egzemplarz, dość surowa ocena gradingowa.\\Parchimowicz 124f\\Stan zachowania PCGS AU\Waga\Średnica|8|['https://archiwum.niemczyk.pl/images/auction/orginal/1614178482_2705K%20_1_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1614178482_2705K%20_3_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1614178482_2705K%20_2_.jpg']|https://archiwum.niemczyk.pl/auction/78/2340/ii-rp-10-zlotych-1939-pilsudski-pcgs-au|II RP. 10 złotych 1939 Piłsudski PCGS AU
2021-03-21|Wspaniale zachowany egzemplarz, intensywny połysk menniczy.\Rzadszy numizmat w takim stanie zachowania.\Parchimowicz 124f\\Stan zachowania 1/1-\Waga 22,00 g Ag\Średnica|9|['https://archiwum.niemczyk.pl/images/auction/orginal/1614178563_2982K%20_1_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1614178563_2982K%20_2_.jpg']|https://archiwum.niemczyk.pl/auction/78/2341/ii-rp-10-zlotych-1939-pilsudski-piekny|II RP. 10 złotych 1939 Piłsudski - PIĘKNY
2021-03-21|Blask menniczy. Piękny egzemplarz.\\Parchimowicz 124f\\Stan zachowania 1-\Waga 22,01 g Ag\Średnica|10|['https://archiwum.niemczyk.pl/images/auction/orginal/1614178762_2698K%20_1_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1614178762_2698K%20_2_.jpg']|https://archiwum.niemczyk.pl/auction/78/2342/ii-rp-10-zlotych-1939-pilsudski|II RP. 10 złotych 1939 Piłsudski
