date|description|images|title|link|title_state|description_state
2021-02-22 (20:02)|II RP. 5 złotych 1930 Sztandar - ładny\Ładny egzemplarz w delikatnej kolorowej patynie.\Połysk.\Parchimowicz 115a\Stan zachowania 3+\Waga 18,07 g Ag .750|['https://archiwum.niemczyk.pl/images/202102/f9d4c27e44d1a207e465d142cc31_orginal.jpg', 'https://archiwum.niemczyk.pl/images/202102/c7ee7a54419d87a444c3f3aa0564_orginal.jpg']|II RP. 5 złotych 1930 Sztandar - ładny|https://archiwum.niemczyk.pl/page/10229919827/ii-rp-5-zlotych-1930-sztandar-ladny||3+
2021-02-22 (20:02)|II RP. 5 złotych 1930 Sztandar - ładny\Ładny egzemplarz w kolorowej patynie. Połysk.\Parchimowicz 115a\Stan zachowania 2-\Waga 18,07 g Ag .750|['https://archiwum.niemczyk.pl/images/202102/b2a5ebe8438aab2e1130b91dfa09_orginal.jpg', 'https://archiwum.niemczyk.pl/images/202102/fd5286bb4f128367577dc9b0f501_orginal.jpg']|II RP. 5 złotych 1930 Sztandar - ładny|https://archiwum.niemczyk.pl/page/10229914931/ii-rp-5-zlotych-1930-sztandar-ladny||2-
2020-12-13|Jedna z najrzadszych obiegowych monet okresu II RP wybita głębokim stemplem.\Egzemplarz ze wspaniale zachowanymi detalami, warto zwrócić uwagę na pióra orła.\Niestety drobne ryski w tle i przetarcia. Ale wspaniała prezencja na żywo. \Niezmiernie rzadka i poszukiwana moneta, szczególnie w takim stanie zachowania.\Sporadycznie notowana na aukcjach – polecamy!\Parchimowicz 115b; Fischer OB 014\\Stan zachowania 1-\Waga 17,95 g Ag\Średnica|['https://archiwum.niemczyk.pl/images/auction/orginal/1605719120_Sztandar%20gleboki%20_2_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1605719120_Sztandar%20gleboki%20_1_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1605719279_3186K%20_2_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1605718923_3186K%20_1_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1605719180_3186K%20_2_.jpg']|II RP. 5 złotych 1930 Sztandar, STEMPEL GŁĘBOKI - RZADKOŚĆ|https://archiwum.niemczyk.pl/auction/70/2118/ii-rp-5-zlotych-1930-sztandar-stempel-gleboki-rzadkosc||1-
2020-12-13|Wyśmienity egzemplarz, intensywny połysk menniczy i wspaniale zachowane detale. \Rzadki numizmat w takim stanie zachowania.\\Parchimowicz 115a\\Stan zachowania NGC MS63\Waga\Średnica|['https://archiwum.niemczyk.pl/images/auction/orginal/1605523647_2373K%20_1_.JPG', 'https://archiwum.niemczyk.pl/images/auction/orginal/1605523647_2373K%20_3_.JPG', 'https://archiwum.niemczyk.pl/images/auction/orginal/1605523647_2373K%20_2_.JPG']|II RP. 5 złotych 1930 Sztandar NGC MS63 – PIĘKNY|https://archiwum.niemczyk.pl/auction/70/2119/ii-rp-5-zlotych-1930-sztandar-ngc-ms63-piekny|NGC MS63|NGC MS63
2020-12-13|Pięknie zachowana moneta ze szlachetną, nienaruszoną patyną.\Menniczy egzemplarz, rzadki w tak wyszukanym stanie zachowania.\\Parchimowicz 115a\\Stan zachowania NGC MS62\Waga\Średnica|['https://archiwum.niemczyk.pl/images/auction/orginal/1605529311_1226.K%20_3_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1605529311_1226.K%20_1_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1605529311_1226.K%20_4_.jpg']|II RP. 5 złotych 1930 Sztandar NGC MS62 - PIĘKNY|https://archiwum.niemczyk.pl/auction/70/2120/ii-rp-5-zlotych-1930-sztandar-ngc-ms62-piekny|NGC MS62|NGC MS62
2020-12-13|Pięknie zachowane detale.\Rewers niemal menniczy, lekkie przetarcie na awersie.\\Parchimowicz 115a\\Stan zachowania 1-/2\Waga 18,07 g Ag .750\Średnica|['https://archiwum.niemczyk.pl/images/auction/orginal/1605529479_838.K%20_3_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1605529479_838.K%20_1_.jpg']|II RP. 5 złotych 1930 Sztandar - Bardzo ładny|https://archiwum.niemczyk.pl/auction/70/2121/ii-rp-5-zlotych-1930-sztandar-bardzo-ladny||1-/2
2020-12-13|Drobne ryski w tle, ale moneta bardzo ładnie zachowana.\Patyna, połysk.\\Parchimowicz 115a\\Stan zachowania 2+\Waga 18,09 g Ag .750\Średnica|['https://archiwum.niemczyk.pl/images/auction/orginal/1605529599_840.K%20_3_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1605529599_840.K%20_1_.JPG']|II RP. 5 złotych 1930 Sztandar - Ładny|https://archiwum.niemczyk.pl/auction/70/2122/ii-rp-5-zlotych-1930-sztandar-ladny||2+
2020-12-13|Atrakcyjny egzemplarz z dużą ilości połysku menniczego.\\Parchimowicz 115a\\Stan zachowania 2/2+\Waga 18,01 g Ag .750\Średnica|['https://archiwum.niemczyk.pl/images/auction/orginal/1605529773_841.K%20_3_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1605529773_841.K%20_1_.jpg']|II RP. 5 złotych 1930 Sztandar - Ładny|https://archiwum.niemczyk.pl/auction/70/2123/ii-rp-5-zlotych-1930-sztandar-ladny||2/2+
2020-12-13|Bardzo ładnie zachowane detale, przetarte tło.\\Parchimowicz 115a\\Stan zachowania 2-\Waga 17,99 g Ag .750\Średnica|['https://archiwum.niemczyk.pl/images/auction/orginal/1605530255_839.K%20_3_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1605530255_839.K%20_1_.jpg']|II RP. 5 złotych 1930 Sztandar - Ładny|https://archiwum.niemczyk.pl/auction/70/2124/ii-rp-5-zlotych-1930-sztandar-ladny||2-
2020-12-13|Połysk menniczy na całej powierzchni, drobne skazy w tle.\Przebijająca patyna. Piękny stan zachowania.\Fischer OB 014\\Stan zachowania 2+\Waga 17,87 g Ag\Średnica|['https://archiwum.niemczyk.pl/images/auction/orginal/1605530798_281%20_1_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1605530798_281%20_2_.jpg']|II RP. II RP. 5 złotych 1930 Sztandar|https://archiwum.niemczyk.pl/auction/70/2125/ii-rp-ii-rp-5-zlotych-1930-sztandar||2+
2020-12-13|Piękne lustro mennicze, kilka mikrorysek na awersie. Stara, szlachetna patyna. \Fischer OB 014\\Stan zachowania 2+/1-\Waga 17,94 g Ag\Średnica|['https://archiwum.niemczyk.pl/images/auction/orginal/1605530905_132%20_2_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1605530905_132%20_1_.jpg']|II RP. 5 złotych 1930 Sztandar|https://archiwum.niemczyk.pl/auction/70/2126/ii-rp-5-zlotych-1930-sztandar||2+/1-
2020-12-13|Wspaniale zachowany egzemplarz, połysk menniczy.\Piękna, kolorowa patyna dodająca uroku.\\Parchimowicz 115a\\Stan zachowania 1-\Waga 18,03 g Ag\Średnica|['https://archiwum.niemczyk.pl/images/auction/orginal/1605531037_2624K%20_1_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1605531037_2624K%20_2_.jpg']|II RP. 5 złotych 1930 Sztandar - PIĘKNY|https://archiwum.niemczyk.pl/auction/70/2127/ii-rp-5-zlotych-1930-sztandar-piekny||1-
2020-12-13|Bardzo ładnie zachowane szczegóły, sporo połysku, lekko przetarte tło.\\Parchimowicz 115a\\Stan zachowania 2\Waga 17,98 g Ag .750\Średnica|['https://archiwum.niemczyk.pl/images/auction/orginal/1605532477_800.K%20_3_.JPG', 'https://archiwum.niemczyk.pl/images/auction/orginal/1605532477_800.K%20_1_.JPG']|II RP. 5 złotych 1930 Sztandar - Ładny|https://archiwum.niemczyk.pl/auction/70/2128/ii-rp-5-zlotych-1930-sztandar-ladny||2
2020-12-11 (20:12)|II RP 5 złotych 1930 Sztandar st.2-\Bardzo ładnie zachowane detale, ale tło monety przetarte.\Fischer OB 014\17,93 g Ag .750|['https://archiwum.niemczyk.pl/images/202012/67afbab44b4b895f47cdc86b2432_orginal.jpg', 'https://archiwum.niemczyk.pl/images/202012/3ac8a12d4b3d94a872f53d0eeca4_orginal.jpg']|II RP 5 złotych 1930 Sztandar|https://archiwum.niemczyk.pl/page/9977044325/ii-rp-5-zlotych-1930-sztandar||2-
2020-10-17|Jedna z najrzadszych obiegowych monet okresu II RP wybita głębokim stemplem.\Egzemplarz ze wspaniale zachowanymi detalami, warto zwrócić uwagę na pióra orła. Drobne ryski w tle i przetarcia.\Niezmiernie rzadka i poszukiwana moneta, szczególnie w takim stanie zachowania.\Sporadycznie notowana na aukcjach – polecamy!\Parchimowicz 115b; Fischer OB 014\\Stan zachowania 1-/2+\Waga 17,94 g Ag .750\Średnica 33 mm|['https://archiwum.niemczyk.pl/images/auction/orginal/1599231034_81%20_2_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1599231034_81%20_1_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1600753349_1600753251_2020_09_21_072088.jpg']|II RP. 5 złotych 1930 Sztandar, STEMPEL GŁĘBOKI|https://archiwum.niemczyk.pl/auction/60/590/ii-rp-5-zlotych-1930-sztandar-stempel-gleboki||1-/2+
2020-10-17|Wyśmienicie zachowany, menniczy egzemplarz z pięknym blaskiem menniczym. Kolorowa patyna przy rancie.\Moneta z najwyższej półki, do najlepszych zbiorów.\Parchimowicz 115a\\Stan zachowania NGC MS64 (2 MAX)\Waga Ag\Średnica 33 mm|['https://archiwum.niemczyk.pl/images/auction/orginal/1599467288_618%20k%20_1_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1599467288_618%20k%20_3_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1599467288_618%20k%20_2_.jpg']|II RP. 5 złotych 1930 Sztandar NGC MS64 (2 MAX)|https://archiwum.niemczyk.pl/auction/60/591/ii-rp-5-zlotych-1930-sztandar-ngc-ms64-2-max|NGC MS64|NGC MS64
2020-10-17|Moneta wybita na 100-lecie Powstania Listopadowego.\Wspaniale zachowany menniczy egzemplarz. Intensywny połysk menniczy.\Fischer OB 014; Parchimowicz 115a\\Stan zachowania NGC MS62\Waga Ag\Średnica 33 mm|['https://archiwum.niemczyk.pl/images/auction/orginal/1599467431_752K%20_1_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1599467431_752K%20_2_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1599467431_752K%20_3_.jpg']|II RP. 5 złotych 1930 Sztandar NGC MS62|https://archiwum.niemczyk.pl/auction/60/592/ii-rp-5-zlotych-1930-sztandar-ngc-ms62|NGC MS62|NGC MS62
2020-10-17|Bardzo ładny egzemplarz. Blask menniczy, kolorowa patyna.\Fischer OB 014; Parchimowicz 115a\\Stan zachowania 1-/2+\Waga 17,87 g Ag .750\Średnica 33 mm|['https://archiwum.niemczyk.pl/images/auction/orginal/1599467639_859K%20_1_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1599467639_859K%20_2_.jpg']|II RP. II RP. 5 złotych 1930 Sztandar|https://archiwum.niemczyk.pl/auction/60/593/ii-rp-ii-rp-5-zlotych-1930-sztandar||1-/2+
2020-09-22 (19:09)|II RP 5 złotych 1930 Sztandar st.2\Waga: 17,98 g Ag .750\Fischer OB 014|['https://archiwum.niemczyk.pl/images/202009/a8efae284e94a63602435e100ffa_orginal.jpg', 'https://archiwum.niemczyk.pl/images/202009/5104e35d44f990540e5bc2056a63_orginal.jpg']|II RP 5 złotych 1930 Sztandar st.2|https://archiwum.niemczyk.pl/page/9700979682/ii-rp-5-zlotych-1930-sztandar-st2|2|2
2020-09-12 (20:09)|II RP 5 zł 1930 Sztandar GCN AU58\Bardzo ładnie zachowana moneta w slabie GCN z notą AU58.\Parchimowicz 115a; Fischer OB 014\Ag .750|['https://archiwum.niemczyk.pl/images/202009/a59fc20f4c00b332d2a2b4a1811f_orginal.jpg', 'https://archiwum.niemczyk.pl/images/202009/eb9eaafc4a2ca610ea174d5a839c_orginal.jpg', 'https://archiwum.niemczyk.pl/images/202009/c1555f844413b2f173392a73122b_orginal.jpg']|II RP 5 zł 1930 Sztandar GCN AU58|https://archiwum.niemczyk.pl/page/9652478018/ii-rp-5-zl-1930-sztandar-gcn-au58|GCN AU58|GCN AU58
2020-08-31 (21:08)|II RP 5 złotych 1930 Sztandar st. 3\Moneta czyszczona.\Fischer OB 014\17,92 g Ag .750|['https://archiwum.niemczyk.pl/images/202008/ff79c10f4242a813e1a591fe60c0_orginal.jpg', 'https://archiwum.niemczyk.pl/images/202008/ac7f7ed24fc98452e54040aa5b97_orginal.jpg']|II RP 5 złotych 1930 Sztandar st. 3|https://archiwum.niemczyk.pl/page/9618546321/ii-rp-5-zlotych-1930-sztandar-st-3|3|3
2020-07-21 (19:07)|Patyna.\Waga: 17,65 g Ag .750\Fischer OB 014|['https://archiwum.niemczyk.pl/images/202007/82703b004053811d68042c3ffd15_orginal.jpg', 'https://archiwum.niemczyk.pl/images/202007/8a2751f84e648472f91975ca3614_orginal.jpg']|II RP 5 złotych 1930 Sztandar st.3+|https://archiwum.niemczyk.pl/page/9498085064/ii-rp-5-zlotych-1930-sztandar-st3|3+|
2020-06-21|Wspaniale zachowany egzemplarz, intensywny połysk menniczy. Piękna, kolorowa patyna. Rzadka moneta w takim stanie zachowania.\Fischer OB 014; Parchimowicz 115a\\Stan zachowania PCGS MS62\Waga\Średnica|['https://archiwum.niemczyk.pl/images/auction/orginal/1590156380_502%20_2_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1590156087_502%20_1__S.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1590156087_502%20_3__S.jpg']|II RP. 5 złotych 1930 Sztandar PCGS MS62|https://archiwum.niemczyk.pl/auction/66/1269/ii-rp-5-zlotych-1930-sztandar-pcgs-ms62|PCGS MS62|PCGS MS62
2020-06-21|Stara, szlachetna patyna. Przebijająca patyna. Piękny stan zachowania.\Fischer OB 014; Parchimowicz 115a\\Stan zachowania NGC MS62\Waga\Średnica|['https://archiwum.niemczyk.pl/images/auction/orginal/1590156520_751%20_2__S.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1590156520_751%20_4__S.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1590156520_751%20_3__S.jpg']|II RP. 5 złotych 1930 Sztandar NGC MS62|https://archiwum.niemczyk.pl/auction/66/1270/ii-rp-5-zlotych-1930-sztandar-ngc-ms62|NGC MS62|NGC MS62
