date|description|images|title
2021-02-22 (20:02)|II RP. 5 złotych 1930 Sztandar - ładny\Ładny egzemplarz w delikatnej kolorowej patynie.\Połysk.\Parchimowicz 115a\Stan zachowania 3+\Waga 18,07 g Ag .750|['https://archiwum.niemczyk.pl/images/202102/f9d4c27e44d1a207e465d142cc31_orginal.jpg', 'https://archiwum.niemczyk.pl/images/202102/c7ee7a54419d87a444c3f3aa0564_orginal.jpg']|II RP. 5 złotych 1930 Sztandar - ładny
2021-02-22 (20:02)|II RP. 5 złotych 1930 Sztandar - ładny\Ładny egzemplarz w kolorowej patynie. Połysk.\Parchimowicz 115a\Stan zachowania 2-\Waga 18,07 g Ag .750|['https://archiwum.niemczyk.pl/images/202102/b2a5ebe8438aab2e1130b91dfa09_orginal.jpg', 'https://archiwum.niemczyk.pl/images/202102/fd5286bb4f128367577dc9b0f501_orginal.jpg']|II RP. 5 złotych 1930 Sztandar - ładny
2020-12-13|Jedna z najrzadszych obiegowych monet okresu II RP wybita głębokim stemplem.\Egzemplarz ze wspaniale zachowanymi detalami, warto zwrócić uwagę na pióra orła.\Niestety drobne ryski w tle i przetarcia. Ale wspaniała prezencja na żywo. \Niezmiernie rzadka i poszukiwana moneta, szczególnie w takim stanie zachowania.\Sporadycznie notowana na aukcjach – polecamy!\Parchimowicz 115b; Fischer OB 014\\Stan zachowania 1-\Waga 17,95 g Ag\Średnica|['https://archiwum.niemczyk.pl/images/auction/orginal/1605719120_Sztandar%20gleboki%20_2_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1605719120_Sztandar%20gleboki%20_1_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1605719279_3186K%20_2_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1605718923_3186K%20_1_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1605719180_3186K%20_2_.jpg']|II RP. 5 złotych 1930 Sztandar, STEMPEL GŁĘBOKI - RZADKOŚĆ
2020-12-13|Wyśmienity egzemplarz, intensywny połysk menniczy i wspaniale zachowane detale. \Rzadki numizmat w takim stanie zachowania.\\Parchimowicz 115a\\Stan zachowania NGC MS63\Waga\Średnica|['https://archiwum.niemczyk.pl/images/auction/orginal/1605523647_2373K%20_1_.JPG', 'https://archiwum.niemczyk.pl/images/auction/orginal/1605523647_2373K%20_3_.JPG', 'https://archiwum.niemczyk.pl/images/auction/orginal/1605523647_2373K%20_2_.JPG']|II RP. 5 złotych 1930 Sztandar NGC MS63 – PIĘKNY
2020-12-13|Pięknie zachowana moneta ze szlachetną, nienaruszoną patyną.\Menniczy egzemplarz, rzadki w tak wyszukanym stanie zachowania.\\Parchimowicz 115a\\Stan zachowania NGC MS62\Waga\Średnica|['https://archiwum.niemczyk.pl/images/auction/orginal/1605529311_1226.K%20_3_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1605529311_1226.K%20_1_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1605529311_1226.K%20_4_.jpg']|II RP. 5 złotych 1930 Sztandar NGC MS62 - PIĘKNY
2020-12-13|Pięknie zachowane detale.\Rewers niemal menniczy, lekkie przetarcie na awersie.\\Parchimowicz 115a\\Stan zachowania 1-/2\Waga 18,07 g Ag .750\Średnica|['https://archiwum.niemczyk.pl/images/auction/orginal/1605529479_838.K%20_3_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1605529479_838.K%20_1_.jpg']|II RP. 5 złotych 1930 Sztandar - Bardzo ładny
2020-12-13|Drobne ryski w tle, ale moneta bardzo ładnie zachowana.\Patyna, połysk.\\Parchimowicz 115a\\Stan zachowania 2+\Waga 18,09 g Ag .750\Średnica|['https://archiwum.niemczyk.pl/images/auction/orginal/1605529599_840.K%20_3_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1605529599_840.K%20_1_.JPG']|II RP. 5 złotych 1930 Sztandar - Ładny
2020-12-13|Atrakcyjny egzemplarz z dużą ilości połysku menniczego.\\Parchimowicz 115a\\Stan zachowania 2/2+\Waga 18,01 g Ag .750\Średnica|['https://archiwum.niemczyk.pl/images/auction/orginal/1605529773_841.K%20_3_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1605529773_841.K%20_1_.jpg']|II RP. 5 złotych 1930 Sztandar - Ładny
2020-12-13|Bardzo ładnie zachowane detale, przetarte tło.\\Parchimowicz 115a\\Stan zachowania 2-\Waga 17,99 g Ag .750\Średnica|['https://archiwum.niemczyk.pl/images/auction/orginal/1605530255_839.K%20_3_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1605530255_839.K%20_1_.jpg']|II RP. 5 złotych 1930 Sztandar - Ładny
2020-12-13|Połysk menniczy na całej powierzchni, drobne skazy w tle.\Przebijająca patyna. Piękny stan zachowania.\Fischer OB 014\\Stan zachowania 2+\Waga 17,87 g Ag\Średnica|['https://archiwum.niemczyk.pl/images/auction/orginal/1605530798_281%20_1_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1605530798_281%20_2_.jpg']|II RP. II RP. 5 złotych 1930 Sztandar
